model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,1,0.6225,0.5145,1409,0.388,0.2318,283,0.856,0.864,0.5484,0.792,0.7651,499,27962.8,12.763,2601735
GPT-5,1,0.645,0.5401,1285,0.0784,0.0835,283,0.848,0.808,0.528,0.792,0.744,500,41758.9,20.193,3978982
GPT-5.1,1,0.6053,0.4939,1403,0.3991,0.2503,283,0.912,0.944,0.608,0.888,0.838,500,8051.0,3.683,2610873
Claude Opus 4.6,1,0.6295,0.5235,1404,0.4376,0.2871,283,0.928,0.936,0.576,0.896,0.834,500,41259.9,18.866,3027354
Claude Opus 4.5,1,0.6221,0.5146,1405,0.4095,0.2589,283,0.912,0.872,0.56,0.84,0.796,500,39093.3,17.867,3012848
Claude Sonnet 4.5,1,,,,0.414,0.2626,283,0.896,0.92,0.552,0.912,0.82,500,10195.1,13.021,1872213
Gemini 2.5 Pro,1,0.6349,0.5265,1377,0.4169,0.2633,283,0.912,0.976,0.576,0.912,0.844,500,35730.2,16.542,5293333
Gemini 2.5 Flash,1,0.6148,0.5055,1264,0.4285,0.3745,283,0.832,0.848,0.576,0.824,0.77,500,21520.8,10.513,4951612
Gemini 3 Pro,1,0.827,0.784,500,0.4147,0.2879,283,0.976,0.976,0.56,0.968,0.87,500,31406.9,24.479,3339292
Gemini 3 Flash,1,0.6418,0.5394,1359,0.3519,0.2123,283,0.9677,0.968,0.544,0.928,0.8519,499,21530.6,10.056,5051883
Gemini 3.1 Pro,1,0.6935,0.6016,1393,0.4016,0.2784,283,0.968,0.976,0.576,0.976,0.874,500,26503.9,12.18,4774106
DeepSeek-R1,1,0.6186,0.5084,1363,0.3939,0.2489,282,0.8306,0.848,0.5,0.813,0.7479,496,100638.5,47.005,5205689
DeepSeek-V3.2,1,0.6083,0.4964,1390,0.3912,0.235,283,0.62,0.635,0.545,0.665,0.6162,800,40434.5,16.35,2795780
DeepSeek-V3,1,0.5987,0.4868,1368,0.373,0.2296,282,0.825,0.905,0.56,0.825,0.7788,800,18634.2,7.606,2805522
Doubao Seed 2.0 Pro,1,0.6298,0.5246,1401,0.4004,0.2461,283,0.968,0.976,0.512,0.928,0.846,500,69055.5,31.619,5603450
Doubao Seed 2.0 Lite,1,0.6271,0.5185,1404,0.3897,0.2314,283,0.968,0.96,0.576,0.944,0.862,500,57672.7,26.371,5214253
Doubao Seed 1.6,1,0.6232,0.5136,1398,0.3888,0.2359,283,0.952,0.952,0.536,0.912,0.838,500,67318.0,30.866,4969751
Kimi K2.5,1,0.6619,0.564,883,0.109,0.1138,283,0.512,0.536,0.472,0.52,0.51,500,175208.3,105.167,4056080
GLM-5,1,0.6265,0.5234,982,0.148,0.1426,283,0.704,0.776,0.504,0.68,0.666,500,83269.3,47.178,4916648
MiniMax M2.5,1,0.6026,0.4945,902,0.1967,0.1878,283,0.504,0.52,0.416,0.488,0.482,500,35165.6,20.87,4028557
