model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,0,0.6189,0.5103,1409,0.3871,0.2306,283,0.84,0.872,0.576,0.808,0.774,500,12085.7,5.514,2359756
GPT-5,0,0.5988,0.4833,1409,0.0769,0.0817,282,0.84,0.816,0.52,0.848,0.756,500,41091.6,18.755,4099069
GPT-5.1,0,0.6146,0.5018,1409,0.4058,0.255,283,0.928,0.952,0.584,0.88,0.836,500,14223.6,6.489,2372860
Claude Opus 4.6,0,0.6205,0.5096,1409,0.4368,0.2898,283,0.928,0.944,0.576,0.896,0.836,500,10486.8,4.784,2750510
Claude Opus 4.5,0,0.6087,0.4982,1409,0.409,0.2566,283,0.92,0.88,0.56,0.832,0.798,500,17146.9,7.822,2727322
Claude Sonnet 4.5,0,0.5706,0.4528,1409,0.4182,0.2658,283,0.904,0.888,0.536,0.88,0.802,500,17067.9,7.786,2764018
Gemini 2.5 Pro,0,0.6152,0.5032,1409,0.4075,0.2537,283,0.936,0.976,0.584,0.944,0.86,500,26632.0,12.15,5081033
Gemini 2.5 Flash,0,0.5522,0.4287,1409,0.3788,0.3339,283,0.792,0.808,0.536,0.792,0.732,500,24788.0,11.308,5010290
Gemini 3 Pro,0,0.8196,0.774,500,0.405,0.284,283,0.712,0.688,0.488,0.688,0.644,500,18283.0,14.25,3089531
Gemini 3 Flash,0,0.6452,0.5421,1343,0.3519,0.2123,283,0.648,0.632,0.504,0.68,0.616,500,31491.7,14.813,4624212
Gemini 3.1 Pro,0,0.6848,0.5893,1400,0.4084,0.2827,283,0.976,0.976,0.576,0.976,0.876,500,28967.8,13.27,4440147
DeepSeek-R1,0,0.5294,0.3911,1409,0.3426,0.2261,283,0.488,0.488,0.472,0.496,0.486,500,74889.4,34.165,4552376
DeepSeek-V3.2,0,0.5937,0.4755,1409,0.3818,0.2251,283,0.616,0.784,0.592,0.752,0.686,500,19264.8,8.789,2386384
DeepSeek-V3,0,0.5978,0.4842,1390,0.39,0.2398,282,0.824,0.896,0.632,0.848,0.8,500,11867.6,5.464,2426032
Doubao Seed 2.0 Pro,0,0.6419,0.5394,1409,0.4101,0.2564,283,0.968,0.976,0.528,0.936,0.852,500,71519.1,32.627,5231538
Doubao Seed 2.0 Lite,0,0.6265,0.5174,1407,0.3991,0.241,283,0.96,0.968,0.56,0.936,0.856,500,59497.1,27.168,4966268
Doubao Seed 1.6,0,0.6168,0.506,1409,0.3756,0.2253,283,0.96,0.968,0.568,0.92,0.854,500,67885.9,30.97,4594172
Kimi K2.5,0,0.5063,0.3691,1409,0.1188,0.1251,282,0.488,0.528,0.448,0.528,0.498,500,114525.1,52.271,4768928
GLM-5,0,0.3919,0.2271,1409,0.0761,0.0806,283,0.64,0.616,0.456,0.64,0.588,500,61222.9,27.93,3720605
MiniMax M2.5,0,0.4688,0.3187,1409,0.1694,0.1674,283,0.552,0.528,0.48,0.584,0.536,500,40324.1,18.396,4819800
Llama-3.3-70B,0,0.6572,0.574,500,0.4146,0.2729,283,0.664,0.672,0.52,0.696,0.638,500,8987.1,7.005,1950352
Llama-3.1-70B,0,0.663,0.582,500,0.4366,0.3059,283,0.624,0.664,0.504,0.68,0.618,500,62005.3,48.328,1947852
Llama-3.1-8B,0,0.498,0.38,500,0.322,0.2303,283,0.496,0.52,0.464,0.536,0.504,500,24066.4,18.758,2007905
Qwen2.5-72B,0,0.7332,0.668,500,0.3912,0.2412,283,0.744,0.744,0.504,0.704,0.674,500,10779.7,8.402,2210567
Qwen2.5-7B,0,0.3753,0.226,500,0.1557,0.1132,283,0.416,0.448,0.472,0.6,0.484,500,8783.9,6.846,2247533
Qwen3-8B,0,0.5952,0.4977,440,0.3823,0.2718,283,0.552,0.584,0.456,0.608,0.55,500,53057.0,43.383,2815304
Qwen3-14B,0,0.5805,0.482,500,0.3761,0.2528,283,0.592,0.528,0.48,0.592,0.548,500,19958.4,15.556,2212279
bm25,0,0.4489,0.2811,1409,0.3467,0.3278,283,0.96,0.976,0.48,0.936,0.838,500,,0.0,
random,0,0.2865,0.0979,1409,0.0939,0.0949,283,0.504,0.48,0.536,0.464,0.496,500,,0.0,
