model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,3,0.7389,0.674,500,0.3889,0.2344,283,0.864,0.872,0.552,0.824,0.778,500,40845.2,31.836,2155466
GPT-5,3,0.7173,0.648,500,0.0759,0.0804,283,0.816,0.864,0.512,0.752,0.736,500,19652.4,15.318,3258173
GPT-5.1,3,0.7324,0.666,500,0.4061,0.2572,283,0.896,0.952,0.624,0.872,0.836,500,11250.0,8.769,2162877
Claude Opus 4.6,3,0.7758,0.718,500,0.4363,0.2868,283,0.936,0.936,0.568,0.896,0.834,500,27763.0,21.639,2508221
Claude Opus 4.5,3,0.7772,0.724,500,0.4087,0.2563,283,0.92,0.896,0.552,0.848,0.804,500,15056.6,11.735,2490065
Claude Sonnet 4.5,3,0.7644,0.706,500,0.4084,0.2584,283,0.912,0.904,0.552,0.864,0.808,500,14596.9,11.377,2494015
Gemini 2.5 Pro,3,0.769,0.71,500,0.413,0.2593,283,0.912,0.952,0.608,0.912,0.846,500,17234.0,13.433,3810418
Gemini 2.5 Flash,3,0.6588,0.578,500,0.3933,0.3432,283,0.768,0.848,0.592,0.792,0.75,500,10629.7,8.285,3772714
Gemini 3 Pro,3,0.8196,0.774,500,0.3961,0.2744,283,0.968,0.976,0.584,0.976,0.876,500,16323.1,12.723,3533490
Gemini 3 Flash,3,0.7599,0.702,500,0.3526,0.2146,283,0.9677,0.96,0.544,0.936,0.8519,499,13779.1,10.748,3708558
Gemini 3.1 Pro,3,0.8147,0.77,500,0.4043,0.2815,283,0.976,0.976,0.6,0.968,0.88,500,17634.6,13.745,3535807
DeepSeek-R1,3,0.667,0.582,500,0.3869,0.2424,282,0.888,0.896,0.544,0.848,0.794,500,87353.5,68.138,4037729
DeepSeek-V3.2,3,0.7195,0.648,500,0.3852,0.2307,282,0.672,0.75,0.624,0.72,0.6915,499,66901.2,52.226,2176883
DeepSeek-V3,3,0.704,0.6364,484,0.39,0.2391,282,0.832,0.9032,0.6,0.88,0.8038,499,10984.3,8.683,2185211
Doubao Seed 2.0 Pro,3,0.742,0.68,500,0.4032,0.2489,283,0.96,0.976,0.544,0.936,0.854,500,53739.4,41.886,3874364
Doubao Seed 2.0 Lite,3,0.7268,0.66,500,0.3979,0.2423,283,0.968,0.968,0.568,0.952,0.864,500,40445.7,31.524,3692944
Doubao Seed 1.6,3,0.7302,0.6653,499,0.3848,0.2314,283,0.944,0.96,0.5565,0.936,0.8491,499,42896.9,33.487,3676510
Doubao Seed 1.6 (251015),3,0.718,0.65,500,0.3858,0.233,283,0.968,0.952,0.56,0.912,0.848,500,45856.7,35.742,3687968
Kimi K2.5,3,0.5985,0.5,500,0.1117,0.1183,283,0.512,0.52,0.448,0.52,0.5,500,135042.8,105.255,3624340
GLM-5,3,0.6563,0.5711,499,0.1609,0.1508,283,0.696,0.744,0.528,0.696,0.666,500,69475.8,54.193,4044194
MiniMax M2.5,3,0.5471,0.432,500,0.1807,0.176,283,0.512,0.544,0.456,0.52,0.508,500,22739.5,17.724,3572129
