model,shot,meip_mrr,meip_hit1,meip_n,tes_ndcg10,tes_mrr,tes_n,ecd_L1,ecd_L2,ecd_L3,ecd_L4,ecd_macro,ecd_n,total_latency_s,avg_lat_per_call,total_tokens
GPT-5.2,1,0.7457,0.684,500,0.3939,0.2348,283,0.856,0.864,0.5484,0.792,0.7651,499,39409.3,30.741,1994489
GPT-5,1,0.7221,0.656,500,0.0745,0.0799,283,0.848,0.808,0.528,0.792,0.744,500,20300.4,15.823,3083091
GPT-5.1,1,0.728,0.664,500,0.4031,0.2533,283,0.912,0.944,0.608,0.888,0.838,500,2828.7,2.205,2002418
Claude Opus 4.6,1,0.7832,0.728,500,0.4465,0.2986,283,0.928,0.936,0.576,0.896,0.834,500,22449.2,17.497,2321793
Claude Opus 4.5,1,0.7762,0.722,500,0.4113,0.2587,283,0.912,0.872,0.56,0.84,0.796,500,12899.0,10.054,2303501
Claude Sonnet 4.5,1,0.7759,0.72,500,0.4507,0.3093,283,0.896,0.92,0.552,0.912,0.82,500,18224.7,14.205,2336312
Gemini 2.5 Pro,1,0.7516,0.69,500,0.3963,0.2421,283,0.912,0.976,0.576,0.912,0.844,500,22153.5,17.267,3627076
Gemini 2.5 Flash,1,0.6456,0.558,500,0.3028,0.2642,283,0.832,0.848,0.576,0.824,0.77,500,13230.2,10.312,3587859
Gemini 3 Pro,1,0.827,0.784,500,0.39,0.2653,283,0.976,0.976,0.56,0.968,0.87,500,31400.2,24.474,3338077
Gemini 3 Flash,1,0.7439,0.682,500,0.3519,0.2123,283,0.9677,0.968,0.544,0.928,0.8519,499,20988.4,16.372,3513767
Gemini 3.1 Pro,1,0.8234,0.78,500,0.4234,0.3003,283,0.968,0.976,0.576,0.976,0.874,500,19504.5,15.202,3335648
DeepSeek-R1,1,0.6996,0.626,500,0.3698,0.2322,282,0.8306,0.848,0.5,0.813,0.7479,496,65671.1,51.386,3740827
DeepSeek-V3.2,1,0.7367,0.672,500,0.3776,0.2273,283,0.6581,0.7642,0.5833,0.6723,0.6695,479,43338.5,34.341,2008516
DeepSeek-V3,1,0.7233,0.656,500,0.3888,0.2377,282,0.8403,0.913,0.6017,0.8435,0.7996,467,10113.9,8.098,2018485
Doubao Seed 2.0 Pro,1,0.7521,0.694,500,0.4057,0.2506,283,0.968,0.976,0.512,0.928,0.846,500,60352.7,47.04,3709903
Doubao Seed 2.0 Lite,1,0.7401,0.676,500,0.3962,0.2399,283,0.968,0.96,0.576,0.944,0.862,500,47801.3,37.257,3526098
Doubao Seed 1.6,1,0.7253,0.66,500,0.3824,0.2319,283,0.952,0.952,0.536,0.912,0.838,500,49158.5,38.315,3488924
Doubao Seed 1.6 (251015),1,0.7338,0.668,500,0.3749,0.2237,279,0.952,0.952,0.576,0.92,0.85,500,47440.7,37.092,3429313
Kimi K2.5,1,0.6037,0.502,500,0.1221,0.1263,257,0.512,0.536,0.472,0.52,0.51,500,93984.5,74.769,3240565
GLM-5,1,0.6736,0.594,500,0.1413,0.134,283,0.704,0.776,0.504,0.68,0.666,500,55769.2,43.468,3852069
MiniMax M2.5,1,0.5718,0.454,500,0.188,0.1859,283,0.504,0.52,0.416,0.488,0.482,500,39318.8,30.646,3407633
